date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:46	7860/7860	---M--	200	added ('OK')	image/png	etag:%225f29e2d3-1eb4%22	https://www.gob.pe/assets/coronavirus/coronavirus2-b47d3524395c772b64b9b08061aa308c24c08c6ad392a0e455a7cbb800983165.png	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/coronavirus/coronavirus2-b47d3524395c772b64b9b08061aa308c24c08c6ad392a0e455a7cbb800983165.png	(from https://www.gob.pe/coronavirus)
08:54:47	28534/28534	---MCZ	200	added ('OK')	text/html	etag:W/%220cc6203beb1ff5a02aaa0e5ad9a60389%22	https://www.gob.pe/triaje	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/triaje.html	(from https://www.gob.pe/coronavirus)
08:54:47	40506/40506	---M-Z	200	added ('OK')	image/svg+xml	etag:%225f29e2d3-7446%22	https://www.gob.pe/assets/coronavirus/peruentusmanos-d915d061a60e7b5f5c25dc215a26519aa1ceee9b1911307b10afb76803eb3e57.svg	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/coronavirus/peruentusmanos-d915d061a60e7b5f5c25dc215a26519aa1ceee9b1911307b10afb76803eb3e57.svg	(from https://www.gob.pe/coronavirus)
08:54:47	4108/4108	---M-Z	200	added ('OK')	image/svg+xml	etag:%225f29e2d3-662%22	https://www.gob.pe/assets/coronavirus/peruentusmanos_texto-a71d441a935145469e2a8dc9013a68ed25a63a1790bfcb915480e3853bf53433.svg	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/coronavirus/peruentusmanos_texto-a71d441a935145469e2a8dc9013a68ed25a63a1790bfcb915480e3853bf53433.svg	(from https://www.gob.pe/coronavirus)
08:54:48	76786/76786	---MCZ	200	added ('OK')	text/html	etag:W/%228c04a546bc85aacf438738711431efe3%22	https://www.gob.pe/8852-presidencia-del-consejo-de-ministros-conocer-las-zonas-de-mayor-riesgo-recibir-alertas-sobre-contactos-de-riesgo-y-mantenerse-informado-sobre-el-covid-19	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8852-presidencia-del-consejo-de-ministros-conocer-las-zonas-de-mayor-riesgo-recibir-alertas-sobre-contactos-de-riesgo-y-mantenerse-informado-sobre-el-covid-19.html	(from https://www.gob.pe/coronavirus)
08:54:48	77259/77259	---MCZ	200	added ('OK')	text/html	etag:W/%2240bbb97e9fe4adf69a4ce8c79e0cf7f7%22	https://www.gob.pe/institucion/pcm/colecciones/793-anuncios-diarios-del-gobierno-sobre-el-covid-19	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/pcm/colecciones/793-anuncios-diarios-del-gobierno-sobre-el-covid-19.html	(from https://www.gob.pe/coronavirus)
08:54:48	77718/77718	---MCZ	200	added ('OK')	text/html	etag:W/%22a59b4c77d141ad479e13bf7ec12c8536%22	https://www.gob.pe/8991	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8991.html	(from https://www.gob.pe/coronavirus)
08:54:49	75104/75104	---MCZ	200	added ('OK')	text/html	etag:W/%22b384794e46e75d2db7aae9729cad8197%22	https://www.gob.pe/8901	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8901.html	(from https://www.gob.pe/coronavirus)
08:54:49	126/126	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Aug%202020%2013:54:46%20GMT	https://www.gob.pe/paselaboral/request_new	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/paselaboral/request_new	(from https://www.gob.pe/coronavirus)
08:54:49	86774/86774	---MCZ	200	added ('OK')	text/html	etag:W/%22cd4b2e2583cf28e349cafd5df07e10fb%22	https://www.gob.pe/8783-solicitar-pase-especial-laboral	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8783-solicitar-pase-especial-laboral.html	(from https://www.gob.pe/coronavirus)
